order	title	difficulty	level	note
1	きみのあかり	oni	5
2	きみのあかり	ura	8
3	鏡の国のアリス	oni	6
4	鏡の国のアリス	ura	8
5	タイムトラベラー	oni	6
6	ナツモノ☆	oni	6
7	Growing Up	oni	6
8	虹色・夢色・太鼓色	oni	6
9	想いを手に願いを込めて	oni	7
10	さいたま2000	oni	7
11	Mood Swing	oni	7
12	Aloft in the wind	oni	7
13	Emma	oni	7
14	Hello, Worldooon!!	oni	7
15	Fly again!	oni	7
16	フリフリ♪ノリノリ♪	oni	7
17	フリフリ♪ノリノリ♪	ura	9
18	願いはエスペラント	oni	7
19	ねぇ教えて	oni	7
20	駄々っ子モンスター	oni	7
21	ゴーゴー・キッチン	oni	7
22	Fly away	oni	7
23	季曲	oni	7
24	季曲	ura	8
25	黒神クロニクル	oni	7
26	スポーツダイジェスドン	oni	7
27	スポーツダイジェスドン	ura	9
28	伝説の祭り	oni	7
29	メカデス。	oni	7
30	カラメルタイム☆	oni	8
31	東京特許キョ許可局局長!!	oni	8
32	Phantom Rider	oni	8
33	Phantom Rider	ura	9
34	月影SASURAI	oni	8
35	月影SASURAI	ura	9
36	化物月夜	oni	8
37	エリンギのエクボ	oni	8
38	オレサマパイレーツ	oni	8
39	Amanda	oni	8
40	Donder Time	oni	8
41	The Magician's Dream	oni	8
42	エンジェル ドリーム	oni	8
43	Day by Day!	oni	8
44	がしゃどくろ	oni	8
45	恋幻想(Love Fantasy)	oni	8
46	めたるぽりす	oni	9
47	めたるぽりす	ura	9
48	氷竜 ～Kooryu～	oni	9
49	ユースフルコースター	oni	9
50	よくでる2000	oni	9
51	少女の神の粒子	oni	9
52	GO GET'EM!	oni	9
53	GO GET'EM!	ura	9
54	Turquoise Tachometer	oni	9
55	DIMENSIONS	oni	9
56	女帝 ～インバラトゥーラ～	oni	9
57	Amber Light	oni	9
58	電子ドラムの達人	oni	9
59	Solitude Star	oni	9
60	パラレルロリポップ	oni	9
61	初音ミクの消失‐劇場版‐	oni	9
62	歌劇「リコレクトブルー	oni	9
63	リトルホワイトウィッチ	oni	9
64	天妖ノ舞	oni	9
65	秋竜 ～Shiuryu～	oni	9
66	魔方陣 ‐サモン・デルタ‐	oni	9
67	亜空間遊泳ac12.5	oni	9
68	はやさいたま2000	oni	9
69	EDY ‐エレクトリカルダンシングヨガ‐	oni	9
70	メヌエット	oni	9
71	いっそこのままで	oni	9
72	サラえる	oni	9
73	凛	oni	9
74	太鼓乱舞 皆伝	oni	8
75	黄泉のイザナミ	oni	8
76	LOVE戦!!	oni	8
77	LOVE戦!!	ura	9
78	Choco Chiptune.	oni	8
79	クルクルクロックル	oni	8
80	夢色コースター	oni	8
